,School Name,Spent Per Student,Student enrollment,Amount needed to reach 100% Fair Student Funding,Percent of Fair Student Funding
1602,Wave Preparatory Elementary School,"$21,874",479,$0,100%
1603,West Bronx Academy for the Future,"$23,973",585,"$716,485",90%
1604,West Brooklyn Community High School,"$24,836",213,"$148,861",95%
1605,West End Secondary School,"$18,914",399,$0,100%
1606,West Prep Academy,"$25,495",190,$0,105%
1607,Westchester Square Academy,"$21,428",594,$0,100%
1608,William Cullen Bryant High School,"$20,564",2351,"$2,564,791",90%
1609,William E. Grady Career and Technical Education High School,"$33,557",395,"$583,158",90%
1610,Williamsburg High School for Architecture and Design,"$21,906",565,"$673,002",90%
1611,Williamsburg Preparatory School,"$19,971",669,"$751,438",90%
1612,Wings Academy,"$22,414",480,"$603,173",90%
1613,Women's Academy of Excellence,"$24,451",252,"$314,568",90%
1614,World Academy for Total Community Health High School,"$23,880",262,"$312,384",90%
1615,World Journalism Preparatory: A College Board School,"$20,175",565,"$578,912",90%
1616,World View High School,"$22,492",534,$0,100%
1617,York Early College Academy,"$17,455",675,"$635,579",90%
1618,Yorkville Community School,"$21,970",455,"$82,546",98%
1619,Yorkville East Middle School,"$23,617",219,$0,100%
1620,Young Leaders Elementary School,"$30,357",216,"$284,968",90%
1621,Young Voices Academy of the Bronx,"$21,175",391,$0,100%
1622,Young Women's Leadership School,"$19,523",473,"$476,607",90%
1623,Young Women's Leadership School of Brooklyn,"$21,029",425,"$249,241",95%
1624,Young Women's Leadership School of the Bronx,"$20,733",547,$0,100%
1625,"Young Women's Leadership School, Astoria","$18,107",564,"$571,345",90%
1626,"Young Women's Leadership School, Queens","$18,466",565,"$372,509",93%
